20201101	alice	41	32	64	4	88
20201102	bob	88	87	9	21	30
20201103	carol	7	23	32	79	17
20201104	dave	26	20	56	14	42
20201105	eve	50	51	91	52	74
20201106	foy	27	16	42	77	83
20201107	ginger	50	49	55	18	56
20201108	hoffmann	15	22	35	20	75
20201109	isaac	72	11	15	66	75
20201110	justin	2	54	68	53	34
20201111	kugar	72	3	5	32	65
20201112	linda	82	24	76	2	19
20201113	mallory	73	62	82	72	93
20201114	navy	54	34	24	89	87
20201115	oscar	81	21	90	11	45
20201116	peggy	17	56	54	6	91
20201117	quick	1	36	81	69	17
20201118	rock	70	41	63	60	67
20201119	steve	8	13	9	59	10
20201120	trent	32	15	29	77	20
20201121	urin	20	65	40	21	12
20201122	vincent	62	51	88	67	71
20201123	walter	72	74	61	42	1
20201124	zoe	38	9	53	15	98
